@casc_pb;cicerolucena;1347292520000;NULL;
@FelipeCowboy1;#Cicero45;1347292599000;NULL;
@HelinhoCds;cicerolucena;1347364816000;NULL;
@HelinhoCds;cicerolucena;1347364886000;NULL;
@HelinhoCds;cicerolucena;1347364926000;NULL;
@HelinhoCds;cicerolucena;1347364974000;NULL;
@HelinhoCds;cicerolucena;1347365020000;NULL;
@HelinhoCds;cicerolucena;1347365045000;NULL;
@HelinhoCds;cicerolucena;1347365070000;NULL;
@HelinhoCds;cicerolucena;1347365122000;NULL;
@HelinhoCds;cicerolucena;1347365133000;NULL;
@HelinhoCds;cicerolucena;1347365235000;NULL;
@HelinhoCds;cicerolucena;1347365235000;NULL;
@HelinhoCds;cicerolucena;1347365236000;NULL;
@HelinhoCds;cicerolucena;1347365251000;NULL;
@HelinhoCds;cicerolucena;1347365274000;NULL;
@viniciuus_7;cicerolucena;1347369419000;NULL;
@guto_lemer15;Cicero Lucena;1347369739000;NULL;
@FelipeCowboy1;cicerolucena;1347371001000;NULL;
@PortalParaibaJa;cicerolucena;1347372074000;NULL;
@FelipeCowboy1;cicerolucena;1347372251000;NULL;
@HelinhoCds;#Cicero45;1347372430000;NULL;
@HelinhoCds;#Cicero45;1347372476000;NULL;
@Hellensoma;cicerolucena;1347372577000;NULL;
@IgorBdAngelis;cicerolucena;1347372617000;NULL;
@IgorBdAngelis;cicerolucena;1347373081000;NULL;
@IgorBdAngelis;cicerolucena;1347373225000;NULL;
@Sauloaamaral;#Cicero45;1347374130000;NULL;
@Sauloaamaral;#Cicero45;1347374401000;NULL;
@IgorBdAngelis;cicerolucena;1347375533000;NULL;
@IgorBdAngelis;cicerolucena;1347375561000;NULL;
@IgorBdAngelis;cicerolucena;1347375687000;NULL;
@IgorBdAngelis;cicerolucena;1347375707000;NULL;
@AnneKaNobrega;cicerolucena;1347376269000;NULL;
@luizcarlosalbin;Cicero Lucena;1347376481000;NULL;
@luizcarlosalbin;Cicero Lucena;1347377107000;NULL;
@elsinhocarvalho;cicerolucena;1347377159000;NULL;
@Ale_Coronago;cicerolucena;1347378790000;NULL;
@AlexandreRamal3;Cicero Lucena;1347378815000;NULL;
@wilde_Pereira;cicerolucena;1347379184000;NULL;
@itallodiniz;cicerolucena;1347379184000;NULL;
@vaneessapd;cicerolucena;1347379204000;NULL;
@ruy_carneiro;cicerolucena;1347379481000;NULL;
@Pedro980213;cicerolucena;1347379524000;NULL;
@Hellensoma;cicerolucena;1347379804000;NULL;
@Djalma__Neto;cicerolucena;1347379823000;NULL;
@andreaebrunog;cicerolucena;1347379850000;NULL;
@GHMaia;cicerolucena;1347379872000;NULL;
@Djalma__Neto;cicerolucena;1347379880000;NULL;
@Djalma__Neto;cicerolucena;1347380071000;NULL;
@FelipeCowboy1;cicerolucena;1347380072000;NULL;
@MariliaMaia;cicerolucena;1347380258000;NULL;
@VOTOCICERO45;Cicero Lucena;1347380617000;NULL;
@Danielmacieladv;cicerolucena;1347380627000;NULL;
@LeonardoRochaCG;cicerolucena;1347380866000;NULL;
@hilder_eco;cicerolucena;1347380869000;NULL;
@FelipeCowboy1;cicerolucena;1347381279000;NULL;
@VozdaConfraria;cicerolucena;1347381307000;NULL;
@PepetaIsidoro;cicerolucena;1347381831000;NULL;
@Mailson_45789;cicerolucena;1347382524000;NULL;
@fikkumamoto;#Cicero45;1347382675000;NULL;
@liciafreire;cicerolucena;1347382690000;NULL;
@glauberronele;cicerolucena;1347384112000;NULL;
@Ceissa_Med;cicerolucena;1347384190000;NULL;
@Ceissa_Med;cicerolucena;1347384219000;NULL;
@adrianac100;cicerolucena;1347384306000;NULL;
@delucca;cicerolucena;1347384563000;NULL;
@euvoumaiscomela;cicerolucena;1347385424000;NULL;
@VozDaParaiba;cicerolucena;1347391935000;NULL;
@noelbustorff;Cicero Lucena;1347394735000;NULL;
@jornalismo45;cicerolucena;1347395262000;NULL;
@VozDaParaiba;cicerolucena;1347399010000;NULL;
@Macaibapb;cicerolucena;1347399027000;NULL;
@Macaibapb;cicerolucena;1347399072000;NULL;
@Sauloaamaral;#Cicero45;1347402351000;NULL;
@ZeLimeiriando;cicerolucena;1347403877000;NULL;
@ZeLimeiriando;cicerolucena;1347404267000;NULL;
@_slcosta;cicerolucena;1347407131000;NULL;
@Sauloaamaral;#Cicero45;1347407997000;NULL;
@lourivalpjunior;cicerolucena;1347412552000;NULL;
@yas_bdf;cicerolucena;1347412604000;NULL;
@ary_junior;cicerolucena;1347412622000;NULL;
@RodrigoSenador;cicerolucena;1347412648000;NULL;
@paulobpontes;cicerolucena;1347412731000;NULL;
@HelinhoCds;cicerolucena;1347414893000;NULL;
@HelinhoCds;cicerolucena;1347414941000;NULL;
@HelinhoCds;cicerolucena;1347414970000;NULL;
@IsaiasRodrigue1;cicerolucena;1347415317000;NULL;
@IsaiasRodrigue1;cicerolucena;1347415800000;NULL;
@Rodolpho_Garcia;#Cicero45;1347416934000;NULL;
@mstryodah;cicerolucena;1347418298000;NULL;
@bellinhaaguiar;cicerolucena;1347418346000;NULL;
@MaxWiilliam;#Cicero45;1347422892000;NULL;
@OnildoCoutinho;Cicero Lucena;1347447254000;NULL;
@Alexandratravas;cicerolucena;1347569593000;NULL;
@Alexandratravas;cicerolucena;1347569612000;NULL;
@Sauloaamaral;cicerolucena;1347574581000;NULL;
@VOTOCICERO45;Cicero Lucena;1347577518000;NULL;
@alisson_pc;cicerolucena;1347588732000;NULL;
@danielsousaa;cicerolucena;1347593317000;NULL;
@danielsousaa;cicerolucena;1347593350000;NULL;
@PensaraParaiba;cicerolucena;1347602097000;NULL;
@PensaraParaiba;cicerolucena;1347602237000;NULL;
@PensaraParaiba;cicerolucena;1347602417000;NULL;
@fikkumamoto;cicerolucena;1347622082000;NULL;
@fikkumamoto;cicerolucena;1347622236000;NULL;
@Diegomacielms;cicerolucena;1347622481000;NULL;
@fikkumamoto;cicerolucena;1347622533000;NULL;
@RicardoRiqueza3;cicerolucena;1347623536000;NULL;
@RodrigoSenador;cicerolucena;1347624809000;NULL;
@savioloureiro_;cicerolucena;1347625144000;NULL;
@RodrigoSenador;cicerolucena;1347626978000;NULL;
@francinaldocb;cicerolucena;1347627121000;NULL;
@portalcorreio;Cicero Lucena;1347627837000;NULL;
@alekmaracaja;cicerolucena;1347628410000;NULL;
@AnaaRaquuel;cicerolucena;1347628488000;NULL;
@hyldinho;cicerolucena;1347628490000;NULL;
@lopesyonnara;cicerolucena;1347628512000;NULL;
@Flaserafim;cicerolucena;1347628517000;NULL;
@Ricardo_Jampa;cicerolucena;1347628557000;NULL;
@fikkumamoto;Cicero Lucena;1347629340000;NULL;
@RicacioCruz;cicerolucena;1347629552000;NULL;
@lidialbu;cicerolucena;1347629576000;NULL;
@AnneKaNobrega;Cicero Lucena;1347629643000;NULL;
@digamecomo;cicerolucena;1347629715000;NULL;
@lidialbu;cicerolucena;1347629726000;NULL;
@Franco_Cassol;cicerolucena;1347629746000;NULL;
@lidialbu;cicerolucena;1347629918000;NULL;
@palmeiracamila;cicerolucena;1347630019000;NULL;
@palmeiracamila;cicerolucena;1347630111000;NULL;
@JorinhoToscano;cicerolucena;1347630399000;NULL;
@alamorocha;cicerolucena;1347630407000;NULL;
@ThiagoPiresrrt;cicerolucena;1347630453000;-7.0401293,-34.8434226;
@palmeiracamila;cicerolucena;1347630463000;NULL;
@JorinhoToscano;cicerolucena;1347630588000;NULL;
@Jeremiasjl;cicerolucena;1347630595000;NULL;
@JorinhoToscano;cicerolucena;1347630693000;NULL;
@lidialbu;cicerolucena;1347630877000;NULL;
@JorinhoToscano;cicerolucena;1347630909000;NULL;
@palmeiracamila;cicerolucena;1347630917000;NULL;
@lidialbu;cicerolucena;1347630983000;NULL;
@Jeremiasjl;cicerolucena;1347631008000;NULL;
@JorinhoToscano;cicerolucena;1347631077000;NULL;
@Jairofelix;cicerolucena;1347631089000;NULL;
@GrupoGrill;cicerolucena;1347631126000;NULL;
@TatiPimentel_;cicerolucena;1347631214000;NULL;
@lourivalpjunior;cicerolucena;1347631435000;NULL;
@lourivalpjunior;cicerolucena;1347631441000;NULL;
@Hellensoma;#Cicero45;1347631615000;NULL;
@Hellensoma;#Cicero45;1347631633000;NULL;
@Hellensoma;#Cicero45;1347631660000;NULL;
@Hellensoma;#Cicero45;1347631707000;NULL;
@Hellensoma;#Cicero45;1347631731000;NULL;
@Hellensoma;#Cicero45;1347631934000;NULL;
@Ricardo_Jampa;#Cicero45;1347631959000;NULL;
@Hellensoma;#Cicero45;1347631995000;NULL;
@Hellensoma;#Cicero45;1347632010000;NULL;
@Hellensoma;#Cicero45;1347632056000;NULL;
@Ricardo_Jampa;cicerolucena;1347632075000;NULL;
@Hellensoma;#Cicero45;1347632095000;NULL;
@AndressaLimaJP;cicerolucena;1347632197000;NULL;
@palmeiracamila;cicerolucena;1347632293000;NULL;
@JorinhoToscano;cicerolucena;1347632302000;NULL;
@Hellensoma;cicerolucena;1347632312000;NULL;
@Hellensoma;cicerolucena;1347632346000;NULL;
@Hellensoma;#Cicero45;1347632378000;NULL;
@Hellensoma;#Cicero45;1347632409000;NULL;
@fikkumamoto;cicerolucena;1347632424000;NULL;
@Hellensoma;#Cicero45;1347632471000;NULL;
@Hellensoma;#Cicero45;1347632524000;NULL;
@Hellensoma;#Cicero45;1347632564000;NULL;
@lfsmoreira;cicerolucena;1347632625000;NULL;
@Ricardo_Jampa;#Cicero45;1347632887000;NULL;
@Hellensoma;cicerolucena;1347632928000;NULL;
@murilomussumago;cicerolucena;1347633041000;NULL;
@Ricardo_Jampa;#Cicero45;1347633062000;NULL;
@Hellensoma;cicerolucena;1347633082000;NULL;
@DenisPV43;cicerolucena;1347633096000;NULL;
@lmascolo;cicerolucena;1347633104000;NULL;
@Ricardo_Jampa;#Cicero45;1347633113000;NULL;
@yuridcarvalho;cicerolucena;1347633133000;NULL;
@VozDaParaiba;cicerolucena;1347633164000;NULL;
@JorinhoToscano;cicerolucena;1347633172000;NULL;
@Bosco_Bosquinho;cicerolucena;1347633199000;NULL;
@RaphaelCruz11;cicerolucena;1347633220000;NULL;
@agesantana;cicerolucena;1347633263000;NULL;
@nildolacerda;cicerolucena;1347633280000;NULL;
@GrassianoVieira;cicerolucena;1347633290000;NULL;
@robertdore;cicerolucena;1347633322000;NULL;
@Ricardo_Jampa;#Cicero45;1347633329000;NULL;
@Hellensoma;#Cicero45;1347633342000;NULL;
@DenisPV43;cicerolucena;1347633355000;NULL;
@JorinhoToscano;cicerolucena;1347633369000;NULL;
@mventurafatima;cicerolucena;1347633393000;NULL;
@Ricardo_Jampa;cicerolucena;1347633414000;NULL;
@Diegomacielms;#Cicero45;1347633419000;NULL;
@lfsmoreira;cicerolucena;1347633452000;NULL;
@gloriajeanjean;cicerolucena;1347633567000;NULL;
@VozDaParaiba;cicerolucena;1347633589000;NULL;
@Hellensoma;#Cicero45;1347633599000;NULL;
@camillelunaa;cicerolucena;1347633638000;NULL;
@maria_santosjp;cicerolucena;1347633646000;NULL;
@Ricardo_Jampa;#Cicero45;1347633662000;NULL;
@Hellensoma;#Cicero45;1347633665000;NULL;
@fikkumamoto;cicerolucena;1347633667000;NULL;
@anders_on;cicerolucena;1347633688000;NULL;
@Hellensoma;#Cicero45;1347633781000;NULL;
@Ricardo_Jampa;#Cicero45;1347633782000;NULL;
@candyferraz;cicerolucena;1347633854000;NULL;
@Sauloaamaral;cicerolucena;1347634005000;NULL;
@Hellensoma;cicerolucena;1347634059000;NULL;
@denisemiranda_;cicerolucena;1347634102000;NULL;
@Hellensoma;#Cicero45;1347634107000;NULL;
@Hellensoma;#Cicero45;1347634127000;NULL;
@Hellensoma;#Cicero45;1347634178000;NULL;
@yuridcarvalho;cicerolucena;1347634416000;NULL;
@Hellensoma;#Cicero45;1347634424000;NULL;
@Hellensoma;#Cicero45;1347634445000;NULL;
@agesantana;cicerolucena;1347634448000;NULL;
@Hellensoma;#Cicero45;1347634482000;NULL;
@dirleyrl;cicerolucena;1347634483000;NULL;
@Hellensoma;#Cicero45;1347634584000;NULL;
@Macale_PB;cicerolucena;1347634592000;NULL;
