@Iedo_Ferreira;sandra marrocos;1347982786000;NULL;
@RangelJuniorJP;sandra marrocos;1347982869000;NULL;
@DrValterPaiva;sandra marrocos;1347983817000;NULL;
@fatinhapessoa;sandra marrocos;1347983836000;NULL;
@Iedo_Ferreira;sandra marrocos;1347985004000;NULL;
@Iedo_Ferreira;sandra marrocos;1347985187000;NULL;
@PolemicaParaiba;sandra marrocos;1347985342000;NULL;
@PolemicaParaiba;sandra marrocos;1347985542000;NULL;
@Iedo_Ferreira;sandra marrocos;1347985991000;NULL;
@D0_BEM;sandramarrocos;1347987351000;NULL;
@D0_BEM;sandramarrocos;1347987378000;NULL;
@marcosweric;sandra marrocos;1347991495000;NULL;
@Iedo_Ferreira;sandra marrocos;1347999766000;NULL;
@Iedo_Ferreira;sandra marrocos;1348001291000;NULL;
@Iedo_Ferreira;sandra marrocos;1348001459000;NULL;
@EugenioFDias;sandra marrocos;1348001681000;NULL;
@horadorushpb;sandra marrocos;1348003180000;NULL;
@horadorushpb;sandra marrocos;1348003260000;NULL;
@jaimeduprado;sandra marrocos;1348003881000;NULL;
@Iedo_Ferreira;sandra marrocos;1348004142000;NULL;
@JubisPaiva;sandramarrocos;1348006911000;NULL;
@SMarrocos40400;sandramarrocos;1348006993000;NULL;
@SMarrocos40400;sandramarrocos;1348007384000;NULL;
@SMarrocos40400;sandramarrocos;1348007533000;NULL;
@zazoeira;SMarrocos40400;1348009403000;NULL;
@zazoeira;SMarrocos40400;1348009457000;NULL;
@nedludd25;sandra marrocos;1348010229000;NULL;
@Iedo_Ferreira;sandra marrocos;1348048017000;NULL;
@Iedo_Ferreira;sandra marrocos;1348049488000;NULL;
@SMarrocos40400;SMarrocos40400;1348054910000;NULL;
@Iedo_Ferreira;sandra marrocos;1348070137000;NULL;
@Iedo_Ferreira;sandra marrocos;1348071387000;NULL;
@Iedo_Ferreira;sandra marrocos;1348072343000;NULL;
@Iedo_Ferreira;sandra marrocos;1348089038000;NULL;
@gloriajeanjean;sandra marrocos;1348150393000;NULL;
@SMarrocos40400;sandramarrocos;1348177636000;NULL;
@herbertfitipald;sandramarrocos;1348177754000;NULL;
@FrancioXavier;sandramarrocos;1348179656000;NULL;
@marcospile;sandramarrocos;1348179838000;NULL;
@FrancioXavier;sandramarrocos;1348180341000;NULL;
@PAMELA_BORIO;sandramarrocos;1348182518000;NULL;
@annafagulha;sandramarrocos;1348182705000;NULL;
@herbertfitipald;sandramarrocos;1348182840000;NULL;
@mventurafatima;sandramarrocos;1348183564000;NULL;
@FrancioXavier;sandramarrocos;1348222802000;NULL;
@Xerxes_Gouveia;SMarrocos40400;1348242195000;NULL;
